_id,name,styleURL,order,priceType,waterMark,bearing,imageURL,createdAt,updatedAt,__v,code,type,lineColor
651daa2a1fdb117a7c055650,Overcast,mapbox://styles/apps-lascade/clll4nww3004n01o18zxmaisn,3,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4whev1w002w16s9mgoliotw/static/-90,35,2.5,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.458Z,0,OVERCAST,2D,
651daa2a1fdb117a7c055651,Neon glow,mapbox://styles/apps-lascade/clll4qmjg01f101qs4f42fkft,4,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4gxqwi5001415l381n7qwak/static/-98.943,37.123,2.4,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.458Z,0,NEON_GLOW,2D,
651daa2a1fdb117a7c055652,Blueprint,mapbox://styles/apps-lascade/clll529jj004s01o138xge6cw,5,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cks97e1e37nsd17nzg7p0308g/static/4.3516,50.8471,11.44,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.458Z,0,BLUEPRINT,2D,
651daa2a1fdb117a7c055653,Minimo,mapbox://styles/apps-lascade/clll55fa201f501qse9jj8azk,6,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cksjc2nsq1bg117pnekb655h1/static/16.3826,48.2101,8.27,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.458Z,0,MINIMO,2D,
651daa2a1fdb117a7c055654,Oil Company,mapbox://styles/apps-lascade/clll58b12008001pe8pxo294l,7,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/ckr0svm3922ki18qntevm857n/static/-0.0897,51.5145,11.65,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.458Z,0,OIL_COMPANY,2D,
651daa2a1fdb117a7c05564f,Standard,mapbox://styles/apps-lascade/cls60aaq3018601pe782089fo,2,free,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4whef7m000714pc44f3qaxs/static/-30,50,2.5,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.137Z,2023-11-30T12:10:37.458Z,0,STANDARD,2D,
651daa2a1fdb117a7c055655,Neon glow 3D,mapbox://styles/apps-lascade/cln07ccha02vt01nzdayb7tv6,13,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4gxqwi5001415l381n7qwak/static/-98.943,37.123,2.4,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-10-04T18:08:42.138Z,2023-11-30T12:10:37.459Z,0,NEON_GLOW_3D,3D,
65685bcbd7dc91faacf2c703,Default,mapbox://styles/apps-lascade/clpl24esr00uo01po41g3e59x,0,free,1,0,"https://api.mapbox.com/styles/v1/mapbox/streets-v11/static/4.8415,52.3752,9.45,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.717Z,2023-11-30T12:10:37.458Z,0,DEFAULT,2D,#ffffff
65685bcbd7dc91faacf2c704,Classic,mapbox://styles/apps-lascade/clpkrpmzp00t201o04zsc4l7c,1,free,1,0,"https://api.mapbox.com/styles/v1/mapbox/outdoors-v11/static/-3.7041,40.4162,9.89,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.718Z,2023-11-30T12:10:37.458Z,0,CLASSIC,2D,
65685bcbd7dc91faacf2c705,Navigation,mapbox://styles/apps-lascade/clpkrsnev00rx01pkhl1ugnrw,9,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox/navigation-guidance-night-v4/static/2.3459,48.8513,8.75,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.718Z,2023-11-30T12:10:37.458Z,0,NAVIGATION,2D,
65685bcbd7dc91faacf2c706,Dark,mapbox://styles/apps-lascade/clpks4i6p00qy01qt2nes0n19,10,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox/dark-v10/static/23.7126,37.9757,8.78,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.718Z,2023-11-30T12:10:37.458Z,0,DARK,2D,
65685bcbd7dc91faacf2c708,Satellite 3D,mapbox://styles/apps-lascade/clpkscjqa00tr01pg3wzafcri,12,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox/satellite-v9/static/133.9687,-25.6122,1.85,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.718Z,2023-11-30T12:10:37.459Z,0,SATELLITE_3D,3D,
65685bcbd7dc91faacf2c707,Satellite,mapbox://styles/apps-lascade/clpkrvknx00tf01o918cy1swv,11,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox/satellite-v9/static/133.9687,-25.6122,1.85,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2023-11-30T09:54:19.718Z,2023-11-30T12:10:37.458Z,0,SATELLITE,2D,
65be86155404481416723a21,Default 3D,mapbox://styles/apps-lascade/cls61wk7e015t01pl4ec79a5l,8,free,1,0,"https://api.mapbox.com/styles/v1/mapbox/streets-v11/static/4.8415,52.3752,9.45,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2024-02-03T18:29:41.766Z,2024-02-03T18:29:41.766Z,0,DEFAULT_3D,3D,#ffffff
65be86155404481416723a22,Navigation 3D,mapbox://styles/apps-lascade/cls61zwli015u01pl7k87bzje,14,paid,0,0,"https://api.mapbox.com/styles/v1/mapbox/navigation-guidance-night-v4/static/2.3459,48.8513,8.75,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2024-02-03T18:29:41.768Z,2024-02-03T18:29:41.768Z,0,NAVIGATION_3D,3D,#ffffff
65be86155404481416723a23,Minimo 3D,mapbox://styles/apps-lascade/cls61rrgy018a01pe0ix30hfg,15,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cksjc2nsq1bg117pnekb655h1/static/16.3826,48.2101,8.27,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2024-02-03T18:29:41.768Z,2024-02-03T18:29:41.768Z,0,MINIMO_3D,3D,#ffffff
65be86155404481416723a24,Basic 3D,mapbox://styles/apps-lascade/clll4gw4401b301pi5haw8jw0,16,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4whef7m000714pc44f3qaxs/static/-30,50,2.5,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2024-02-03T18:29:41.768Z,2024-02-03T18:29:41.768Z,0,BASIC_3D,3D,#ffffff
65be86155404481416723a25,Overcast 3D,mapbox://styles/apps-lascade/cls602w3j01bb01r4frfh15bz,17,paid,1,0,"https://api.mapbox.com/styles/v1/mapbox-map-design/cl4whev1w002w16s9mgoliotw/static/-90,35,2.5,0/840x464?access_token=pk.eyJ1IjoibWFwYm94LW1hcC1kZXNpZ24iLCJhIjoiY2syeHpiaHlrMDJvODNidDR5azU5NWcwdiJ9.x0uSqSWGXdoFKuHZC5Eo_Q",2024-02-03T18:29:41.768Z,2024-02-03T18:29:41.768Z,0,OVERCAST_3D,3D,#ffffff
